model_id,model_name,W1_chi2n_demo,W1_chi2n_std,W1_iqr_chi,W1_mean_chi,W1_r2,W1_pearson_r,W1_frac_outlier_3s,W1_n_det,W2_chi2n_demo,W2_chi2n_std,W2_iqr_chi,W2_mean_chi,W2_r2,W2_pearson_r,W2_frac_outlier_3s,W2_n_det,W3_chi2n_demo,W3_chi2n_std,W3_iqr_chi,W3_mean_chi,W3_r2,W3_pearson_r,W3_frac_outlier_3s,W3_n_det,W4_chi2n_demo,W4_chi2n_std,W4_iqr_chi,W4_mean_chi,W4_r2,W4_pearson_r,W4_frac_outlier_3s,W4_n_det,mean_chi2n,mean_r2
rf_500,rf_500,0.9495782852172852,33.655189514160156,0.6949390769004822,0.01782948523759842,0.946500837802887,0.9729821085929871,0.015880286067617173,152831,0.8562849164009094,25.397186279296875,0.6197680234909058,0.04713793471455574,0.9313936829566956,0.9652515649795532,0.013317539887177205,152806,1.8113516569137573,49.03511047363281,0.7963176369667053,0.2143239676952362,0.8863043785095215,0.9416974782943726,0.039234638171436756,111738,1.3225202560424805,31.313528060913086,0.5823611617088318,0.18331687152385712,0.8114334344863892,0.90240478515625,0.02348206538795252,54169,1.234933778643608,0.8939080834388733
rf_100,rf_100,0.9602170586585999,34.021751403808594,0.7005026340484619,0.018054405227303505,0.9458929896354675,0.9726592898368835,0.016312135626934326,152831,0.865480363368988,25.63526153564453,0.6260334253311157,0.04734063893556595,0.930613100528717,0.964830219745636,0.013762548591023913,152806,1.8313310146331787,49.42168426513672,0.8036173582077026,0.21464446187019348,0.8848813772201538,0.9409122467041016,0.039923750201363906,111738,1.3309266567230225,31.386066436767578,0.583935022354126,0.1830785870552063,0.8098002076148987,0.9013497829437256,0.023611290590559175,54169,1.2469887733459473,0.8927969187498093
mlp_wide,mlp_wide,1.4975883960723877,52.921016693115234,1.0665031671524048,5.4931479098740965e-06,0.9154806137084961,0.9568330645561218,0.025459494474288594,152831,1.3261957168579102,38.467044830322266,0.9463539123535156,-0.0011216721031814814,0.8910998702049255,0.9441954493522644,0.019815975812468096,152806,2.5223441123962402,62.237205505371094,1.1822726726531982,0.00400896230712533,0.808290421962738,0.902060866355896,0.05247095885016736,111738,1.669994831085205,33.62941360473633,0.863925576210022,0.007046903017908335,0.683483362197876,0.8323590159416199,0.027654193357824586,54169,1.7540307641029358,0.8245885670185089
mlp_deep,mlp_deep,1.5116257667541504,53.3607292175293,1.0694568157196045,0.003374833380803466,0.914629340171814,0.9563828706741333,0.02659146377371083,152831,1.3354812860488892,38.69014358520508,0.9503291845321655,0.002040822757408023,0.890373706817627,0.9438040256500244,0.020542387079041397,152806,2.5367605686187744,62.394962310791016,1.1868929862976074,0.0017661560559645295,0.8068721890449524,0.9013887047767639,0.053786536361846465,111738,1.6532628536224365,29.89325523376465,0.8650318384170532,0.010413526557385921,0.6829521656036377,0.8318479657173157,0.028411083830235006,54169,1.7592826187610626,0.8237068504095078
mlp_baseline,mlp_baseline,1.5212712287902832,53.708377838134766,1.0746753215789795,-0.002228253521025181,0.9140864610671997,0.9561107754707336,0.026297020892358226,152831,1.3481847047805786,39.14615249633789,0.9535008668899536,-0.002574722981080413,0.8894461989402771,0.9433591961860657,0.020686360483227098,152806,2.5392372608184814,62.72237014770508,1.185089111328125,-0.0019581029191613197,0.8059912323951721,0.9010881781578064,0.05331221249709141,111738,1.6726486682891846,31.296831130981445,0.8726397752761841,0.0017261358443647623,0.6783968210220337,0.8297404050827026,0.028780298694825453,54169,1.770335465669632,0.8219801783561707
mlp_tiny,mlp_tiny,1.6725695133209229,58.9700927734375,1.1282069683074951,0.008280644193291664,0.9051417112350464,0.9514127969741821,0.031119340971399782,152831,1.4654643535614014,42.60651779174805,0.9958078861236572,0.00501980958506465,0.8794169425964355,0.9380255937576294,0.023807965655798857,152806,2.778402090072632,68.91006469726562,1.2501511573791504,0.0020987126044929028,0.7870165109634399,0.8911181688308716,0.06065080814047146,111738,1.8427802324295044,36.586143493652344,0.9048584699630737,0.0023106280714273453,0.6502207517623901,0.8141603469848633,0.031106352341745278,54169,1.9398040473461151,0.805448979139328
histgbr,histgbr,1.7216299772262573,61.230201721191406,1.1320524215698242,0.03212864324450493,0.9034858345985413,0.9505236148834229,0.03349451354764413,152831,1.559056043624878,46.48352813720703,1.0115153789520264,0.07141288369894028,0.8763504028320312,0.9361444115638733,0.027799955499129614,152806,3.333231210708618,89.89289093017578,1.3015108108520508,0.33425381779670715,0.7931553721427917,0.8908651471138,0.07768171973724247,111738,2.2141385078430176,45.45172119140625,0.9341206550598145,0.2758958339691162,0.667289674282074,0.8176858425140381,0.04323506064354151,54169,2.2070139348506927,0.8100703209638596
histgbr_shallow,histgbr_shallow,2.1452834606170654,76.56784057617188,1.2716456651687622,0.042299918830394745,0.8799841403961182,0.9383039474487305,0.047051972440146306,152831,1.9031054973602295,57.57230758666992,1.1215548515319824,0.09704460948705673,0.8501553535461426,0.9224666953086853,0.037721031896653275,152806,4.518014430999756,131.28733825683594,1.49640953540802,0.4726494550704956,0.7381546497344971,0.8598412871360779,0.10576527233349442,111738,2.9098050594329834,67.18740844726562,1.017730712890625,0.3750079572200775,0.6091641783714294,0.7835738658905029,0.05719138252506046,54169,2.8690521121025085,0.7693645805120468
knn_10,knn_10,2.033278703689575,72.34028625488281,1.2148642539978027,0.08594716340303421,0.8852837085723877,0.9410199522972107,0.044087914101196744,152831,1.8342130184173584,55.622684478759766,1.0761528015136719,0.13731639087200165,0.8557417988777161,0.9252704977989197,0.03598680680078008,152806,4.547662734985352,138.10293579101562,1.418060064315796,0.47151708602905273,0.7500944137573242,0.8675227165222168,0.09604610785945694,111738,3.2384536266326904,80.15486907958984,1.016061544418335,0.4230727553367615,0.5953155755996704,0.776740550994873,0.05789289076778231,54169,2.913402020931244,0.7716088742017746
knn_50,knn_50,2.1243395805358887,76.01900482177734,1.228188157081604,0.12343159317970276,0.8803123831748962,0.9390013813972473,0.0467575295587937,152831,1.9414764642715454,60.50520324707031,1.0867172479629517,0.18177403509616852,0.8502662777900696,0.923252284526825,0.038185673337434396,152806,5.404010772705078,177.62916564941406,1.4906810522079468,0.6190382838249207,0.7319954633712769,0.858786940574646,0.10648123288406809,111738,3.879049777984619,105.96348571777344,1.0397937297821045,0.5291528105735779,0.5752461552619934,0.7727996110916138,0.06527718805959128,54169,3.337219148874283,0.759455069899559
decision_tree,decision_tree,2.816699981689453,99.869384765625,1.482251763343811,0.0516013577580452,0.8411560654640198,0.9171510934829712,0.07065974834948408,152831,2.4578897953033447,72.69544219970703,1.323840856552124,0.11300848424434662,0.8024479150772095,0.8958004713058472,0.05378061070900357,152806,5.25416374206543,150.97982788085938,1.6464505195617676,0.5119106769561768,0.695016622543335,0.8352104425430298,0.12583901627020352,111738,3.5934910774230957,84.83887481689453,1.083426594734192,0.42379841208457947,0.5426664352416992,0.7400020360946655,0.06856320035444627,54169,3.530561149120331,0.7203217595815659
mlp_linear,mlp_linear,4.44635534286499,161.30538940429688,1.7691413164138794,-0.00017432955792173743,0.7482884526252747,0.8656128644943237,0.10391216441690494,152831,3.5360145568847656,112.6242446899414,1.5314929485321045,-0.0012895646505057812,0.7117578983306885,0.8471294641494751,0.06662042066411004,152806,6.0013322830200195,174.09803771972656,1.7638258934020996,4.296435145079158e-05,0.5856195688247681,0.7849046587944031,0.12076464586801268,111738,2.963721752166748,62.09807205200195,1.0490033626556396,-0.003514569951221347,0.4716023802757263,0.7096814513206482,0.0547545644187635,54169,4.236855983734131,0.6293170750141144
ridge_cv,ridge_cv,4.503063201904297,165.5347900390625,1.7462162971496582,0.09078232198953629,0.7497049570083618,0.8658557534217834,0.10136686928699021,152831,3.762122392654419,126.11326599121094,1.5016732215881348,0.17326094210147858,0.7194328308105469,0.8481942415237427,0.07054696805099277,152806,8.044710159301758,248.86976623535156,1.908897876739502,0.6984639763832092,0.6135729551315308,0.7889165878295898,0.16348064221661388,111738,4.487072944641113,110.11873626708984,1.1481149196624756,0.48740071058273315,0.48709791898727417,0.7033860087394714,0.07906736325204453,54169,5.199242174625397,0.6424521654844284
lasso,lasso,4.543695449829102,166.958251953125,1.7668695449829102,0.09365012496709824,0.7469626069068909,0.8643156886100769,0.1047038886089864,152831,3.810492515563965,128.1210479736328,1.5283968448638916,0.1810346096754074,0.7151435613632202,0.8457449674606323,0.07222883918170753,152806,8.24873161315918,257.559814453125,1.9304637908935547,0.7291824221611023,0.6108076572418213,0.7870450019836426,0.16614759526750075,111738,4.633045196533203,114.66222381591797,1.1643770933151245,0.5231660604476929,0.47980159521102905,0.7011197805404663,0.08168878879063671,54169,5.308991193771362,0.6381788551807404
linear,linear,4.858299732208252,178.36582946777344,1.8285000324249268,0.09668175131082535,0.7285736799240112,0.8535658121109009,0.11598432255236175,152831,4.323127269744873,146.3270263671875,1.6122043132781982,0.19657103717327118,0.6782353520393372,0.8235518336296082,0.0852126225409997,152806,11.357820510864258,369.9122009277344,2.1781954765319824,0.8930963277816772,0.5130144953727722,0.7302891612052917,0.20047790366750792,111738,5.451160907745361,134.74034118652344,1.2382245063781738,0.595088541507721,0.4042086601257324,0.6462627053260803,0.0927098524986616,54169,6.497602105140686,0.5810080468654633
mean_baseline,mean_baseline,17.659421920776367,650.0477905273438,3.4549028873443604,0.28394240140914917,-2.0265579223632812e-06,,0.37195333407489317,152831,13.27428150177002,464.34527587890625,2.822399139404297,0.5387876629829407,-3.5762786865234375e-06,,0.2712917032053715,152806,23.0695743560791,877.6571044921875,3.391697406768799,1.3782103061676025,-3.4689903259277344e-05,,0.2504519500975496,111738,10.679567337036133,307.31756591796875,1.6215254068374634,0.6702402234077454,-8.58306884765625e-06,,0.11942254795178053,54169,16.170711278915405,-1.2218952178955078e-05
median_baseline,median_baseline,18.345457077026367,688.9544677734375,3.4820966720581055,0.7236701846122742,-0.010868072509765625,,0.36161511735184615,152831,13.76247787475586,487.8394775390625,2.855595588684082,0.745293915271759,-0.0035042762756347656,,0.2721555436304857,152806,23.74279022216797,902.8264770507812,3.4364030361175537,1.4804092645645142,-0.0006030797958374023,,0.2557232096511482,111738,12.342060089111328,348.42437744140625,1.7379844188690186,1.0715426206588745,-0.047190189361572266,,0.1419446546917979,54169,17.04819631576538,-0.015541404485702515
